  -------------------------------------------------------------------------
    Category         Leakage     Internal    Switching        Total    Row%
  -------------------------------------------------------------------------
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     9.81043e-06  6.22931e-02  3.29515e-02  9.52544e-02  99.99%
    Subtotal     5.95460e-06  3.11397e-02  1.49405e-02  4.60862e-02 100.00%
    Subtotal     3.87496e-06  1.91986e-02  8.44528e-03  2.76478e-02  99.99%
    Subtotal     3.60648e-06  8.45549e-03  9.80748e-06  8.46890e-03 100.00%


    Subtotal     1.57338e-05  1.56993e-01  8.12439e-02  2.38252e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.12107e-05  1.28539e-01  6.60636e-02  1.94613e-01  99.99%
    Subtotal     1.14244e-05  1.30274e-01  6.76978e-02  1.97983e-01 100.00%
    Subtotal     1.15079e-05  1.29942e-01  6.68703e-02  1.96824e-01 100.00%


    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%


    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.16356e-05  1.30586e-01  6.83152e-02  1.98912e-01  99.99%
    Subtotal     1.16514e-05  1.29975e-01  6.78156e-02  1.97802e-01  99.99%
    Subtotal     1.24734e-05  1.36526e-01  7.16132e-02  2.08152e-01 100.00%
    Subtotal     1.20905e-05  1.33688e-01  6.98225e-02  2.03522e-01 100.00%


    Subtotal     1.16029e-05  1.30878e-01  6.84976e-02  1.99387e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.18040e-05  1.33152e-01  6.94903e-02  2.02654e-01 100.00%
    Subtotal     1.09110e-05  1.26850e-01  6.47391e-02  1.91600e-01 100.00%
    Subtotal     1.13704e-05  1.31225e-01  6.66874e-02  1.97924e-01 100.00%


    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%


    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.10447e-05  1.26769e-01  6.50194e-02  1.91799e-01 100.00%
    Subtotal     1.16628e-05  1.32187e-01  6.85504e-02  2.00749e-01 100.00%


    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%
    Subtotal     1.11872e-05  1.27843e-01  6.57667e-02  1.93621e-01 100.00%


